Timestamp,Order Number,Reminder: Tags Match?,Content,Puller,Area,REMINDER: Content,REMINDER: Packaging?,Error or Correct?,Details,Checker,REMINDER: Signed by Checker?
3/5/2024 15:54:11,00551989,yes ,1616#22122 1×6 Sq bck ARK PINE  256/16 ,Tk,AP,Yes,yes,It was Correct,,Aundra,YES
3/5/2024 15:57:20,00551925,yes ,1410#2 SYP 1X4 10' S PINE 384/10,Tk,AP,Yes,no this is an error,Packaging,Needed to be rebanned ,Aundra,YES
3/5/2024 16:12:34,00551913,yes ,Quarter round 40/16,BB,Azek Frontier,Yes,yes,It was Correct,,Aundra,YES
3/5/2024 16:13:42,551909,yes ,Quarter Round 120/16,BB,Azek Frontier,Yes,yes,It was Correct,,Aundra,YES
3/5/2024 16:38:01,00552008 2xs ,yes ,11212EWP 1X12 EASTERN WHITE PINE 148/12 2×s 148/12 EASTERN WHITE PINE ,YJ SN ,"Shaun (Longs, Ponderosa Pine, V cut spruce ",Yes,yes,It was Correct,,Aundra,YES
3/5/2024 16:39:46,552006,,16VCSPFP 1X6 V- CUT PREMIUM ,YJ SN ,"Shaun (Longs, Ponderosa Pine, V cut spruce ",Yes,yes,It was Correct,,Aundra,YES
3/5/2024 16:43:58,00551942,yes ,112#3PINE8 1x12  8' PONDEROSA 168/8,YJ SN,"Shaun (Longs, Ponderosa Pine, V cut spruce ",Yes,yes,It was Correct,,Aundra,YES
3/5/2024 16:45:10,551948,yes ,11210EWP 1X12 10' 24/10 EASTERN WHITE PINE,YJ SN,"Shaun (Longs, Ponderosa Pine, V cut spruce ",Yes,yes,It was Correct,,Aundra,YES
3/5/2024 16:47:15,00551946 3xs ,yes ,"11212EWP 1X12 EWP 24/12 , 11210EWP 1X12 10' EWP 4/10 , 11210EWP 1X12 EWP 20/10' ",YJ SN ,"Shaun (Longs, Ponderosa Pine, V cut spruce ",Yes,yes,It was Correct,,Aundra,YES
3/5/2024 16:48:35,00551862,yes ,112#3PINE12 1X12 12' PONDEROSA 20/12,YJ SN,"Shaun (Longs, Ponderosa Pine, V cut spruce ",Yes,yes,It was Correct,,Aundra,YES
3/5/2024 16:49:48,551988,yes ,112#2 PINE 12 1X12 12' PONDEROSA PINE 168/12,YJ SN,"Shaun (Longs, Ponderosa Pine, V cut spruce ",Yes,yes,It was Correct,,Aundra,YES
3/5/2024 16:52:18,00551890 2 xs ,yes ,12A 2xs 4X8 1/2 ARAUCO PLYWOOD 30/8 2×s ,SAM,WH 1,Yes,yes,It was Correct,,Aundra,YES
3/5/2024 16:55:14,00551333 3xs ,yes ,"11616MDF 1×16 ×16"" 78/16 3×s ",SAM,WH 1,Yes,yes,It was Correct,,Aundra,YES
3/5/2024 16:58:26,00551631,yes ,668TCNO 6X6 8' NEW ORLEANS COLONIAL,Sam,WH 1,Yes,yes,It was Correct,,Aundra,YES
3/5/2024 17:01:19,00551936 2xs ,yes ,"16DPR 1X6 FJ DURAPRIME 25/16 , 12DPR 1X2 FJ DURAPRIME 75/16 ",Sam,WH 1,Yes,yes,It was Correct,,Aundra,YES
3/5/2024 17:04:56,00551990 2xs ,yes ,"12C2CHB 1/2 C-2 BIRCH 40/8 , 14C2B 1/4 C-2 BIRCH 25/8 ",Sam ,WH 1,Yes,yes,It was Correct,,Aundra,YES
3/5/2024 18:08:00,551925,yes ,168SPF 1X6 8' 24/8 BTR SPRUCE,S G ,Returns,Yes,yes,It was Correct,,Aundra,YES
3/5/2024 18:09:35,00551925,yes ,1612WRC 1X6 12' BTR WEC S1S2E 24/12 ,S G,Returns,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 12:25:19,551939,not multiple tags,8816CBR 1/16,BOO,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 12:28:42,2412CPRS4S,yes ,"112#1S1S2E 2/8
2412CPRS4S 3/12",NS,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 12:32:21,552036,yes ,"641216APBNS 20/16
641212APBNS 12/12",BOO,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 12:34:23,551891,not multiple tags,11212SELCPR ,BOO,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 12:36:06,551961,not multiple tags,668CBR,BOO,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 12:38:12,551831,not multiple tags,LWM233 16/16,Hill,Stain Grade,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 12:42:13,55113B,not multiple tags,1x12S4SSE 64/16,NS,Windsor ,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 12:47:31,551938,not multiple tags,1x6S4SSE 128/16,NS,Windsor ,Yes,no this is an error,Major Count,Only 98 here and no spacers under tops ,Calvin,No this is an error and I put a note explaining the error and a yellow sticker if possible and signed it.
3/6/2024 12:50:01,551938,not multiple tags,1X6S4SSE,NS,Windsor ,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 12:59:14,552032,yes ,"2416APTTRCL 16/16
2412APTTRCL 16/12",BOO,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 13:01:05,552032,yes ,"2616APTBR 16/16
2612APTBR 16/12",BOO,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 13:03:15,552035,yes ,"168VC 14/8
1610VC 7/10 ",BOO,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 13:08:55,552032,yes ,"11212APT 24/12
11010APT 20/10
188APT 24/8 
1612#122APT 24/12
1410APT 24/10",BOO,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 13:10:33,551976,not multiple tags,1414APT 115/14,BOO,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 13:12:21,552069,yes ,458FJPR81 360/6.75,JP,WH 4,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 13:12:32,551642,yes ,1616VCCED 41/16 19/16,BOO,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 13:12:49,552069,yes ,458FJPR81 360/6.75,JP,WH 4,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 13:15:30,552012,not multiple tags,1400ABC/122 120/10,LE,AP,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 13:17:25,551930,yes ,"414CRPR 40/16
14WPFJPR2 60/16
16WPFJPR2 40/16",TW/CP,WH 4,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 13:19:02,552060,not multiple tags,16WPFJPR2 200/16,DH/JA,WH 4,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 13:19:09,552070,yes ,16VCSPFP 90/16,YJ/SN,"Shaun (Longs, Ponderosa Pine, V cut spruce ",Yes,yes,It was Correct,,Bryan,YES
3/6/2024 13:21:43,552056,yes ,"1614#2SYP 10/14
1616#2SYP 30/16",MJ,AP,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 13:24:11,552042,yes ,"314BPR 50/16
214CRPR 50/16
QRPR 120/16",NR/CL,WH 4,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 13:24:47,552042,yes ,16VCSPFP 280/16,SN,"Shaun (Longs, Ponderosa Pine, V cut spruce ",Yes,yes,It was Correct,,Bryan,YES
3/6/2024 13:26:35,551955,yes ,LWM233 30/16,Hill,Stain Grade,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 13:27:36,552005,yes ,1200CF,Hill,Stain Grade,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 13:27:53,552077,yes ,"QRPR 120/16
138BCPR 100/16
1417WPFJPR2 50/17 
314C9EPR17 50/17",CP/TW,WH 4,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 13:29:34,551862,yes ,BMPR17 24/17,NR/CL,WH 4,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 13:31:07,552060,not multiple tags,1816#2SL 144/16,MJ,AP,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 13:31:49,552074,yes ,412CEPR 40/16,TW/CP,WH 4,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 13:32:46,552027,yes ,126FJPR2 40/16,DH/JA,WH 4,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 13:34:30,552044,yes ,1600ACM 40/12,LE,AP,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 13:37:21,552004,yes ,514CR 241/16 9/16 ,NS,MDF,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 13:39:44,552029,yes ,"414B620PR 30/16
314CRPR 30/16
18WPFJPR2 25/16
314CPRB317 20/17
12WPFJPR2 100/16",TW/CP,WH 4,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 13:43:14,552005,yes ,"314B713PR 20/16
234CRPR 20/16
BMPR17 10/17
314C399PR17 20/17
14WPFJPR2 40/16",DH/JA,WH 4,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 13:44:49,551997,yes ,"314C444PR17 36/17
18GDPR 10/16
14GDPR 50/16",DH/JA,WH 4,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 13:46:06,551954,yes ,1816#2122 98/16,TK,AP,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 13:47:10,552043,yes ,"112#3PINE8 20/8
112#3PINE10 20/10",YJ/SN,"Shaun (Longs, Ponderosa Pine, V cut spruce ",Yes,yes,It was Correct,,Calvin,YES
3/6/2024 13:49:35,552049,yes ,"314C444PR17 100/17
514B618PR 100/16
314BPR 100/16",DH/JA,WH 4,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 13:51:09,550886,yes ,11216WRC 128/16,SJ/G,Returns,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 13:51:49,551971,yes ,11216WRC 128/16,SJ/G,Returns,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 14:43:48,00552043 3xs ,yes ,"168#2SYP  1x6 8' SY PINE 37/8 , 168#2 SYP  1X6 8' #2 SYP  13/8 , 1410#2SYP 1X4 10' 50/10",Mj LE,AP,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 14:45:39,00552108 2xs ,yes ,128FS 1X2 8' 2xs premium SPF FURRING STRIPS,YJ SN,"Shaun (Longs, Ponderosa Pine, V cut spruce ",Yes,yes,It was Correct,,Aundra,YES
3/6/2024 14:54:21,00552060 5xs ,yes ,"138BCPR 1-3/8""  BASE CAP 50/16 , QRPR QUARTER ROUND 320/16 , 134 CRPR 1- 3/4"" BED CROWN FJ 2xs BED CROWN 100/16, 50/16, 614WSPR 61-1/4 WINDOW STOOL 20/16 ",Ja Dh ,WH 4,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 14:58:25,00552082 2xs ,yes ,"1816SPF 1X8 16' BTR SPRUCE 18/16 , 1816 SPF 1X8 16'  82/16",Rd Jr ,MDF,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 15:19:08,00551106A 2xs ,yes ,1616#2116/122,Tk,AP,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 15:19:51,551841,yes ,"1816SPF 50/16
11216SPF 50/16",JF/RD,MDF,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 15:21:09,00551106A,yes ,1616#2116/122 1×6 16' ARK PINE 256/16,Tk,AP,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 15:21:35,552043,yes ,"QRPR 160/16
18WPFJPR2 50/16
12WPFJPR2 50/16
314BPR 100/16
16WPFJPR2 39/16
16WPFJPR2 1/16",TW/CP,WH 4,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 15:23:52,552043,yes ,"1400AP 15/10 15/12 15/14
1400AP 15/8
1600AP 15/10 15/14
1800AP 15/8 15/10 15/12
1100AP 10/12
11200AP 10/14",MJ,AP,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 15:25:19,551841,yes ,"1616SPF 1/16
1616SPF 99/16",JF/RD,MDF,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 15:26:21,551841,yes ,1414SPF 100/14,JF/RD,MDF,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 15:28:04,552096,yes ,"314CRPR 193/16
314CRPR 7/16",TW/CP,WH 4,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 15:31:05,551831,yes ,"414B620PR 25/16
414CRPR 10/16
214CPR 20/14
214C324PR 20/14",NR/CL,WH 4,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 15:32:08,551814,yes ,112WPFJPR2 25/16,DH/JA,WH 4,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 15:32:14,00551955 3xs ,yes ,"Wm142 1/4"" SCREEN 2/8, 56/14 , WM108 1/2 QUARTER ROUND 50/16 , WM204 1-5/16 OUTSIDE CORNER ",Hill Tori ,Stain Grade,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 15:32:51,551802,yes ,1417WPFJPR2 451/17,JP ,WH 4,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 15:33:37,551863,yes ,8COLCR 144/16,W,MDF,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 15:34:15,551863,yes ,111MDFPR 96/16,W,MDF,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 15:34:56,551862,yes ,16VCSPFP 100/12,SN/YJ,"Shaun (Longs, Ponderosa Pine, V cut spruce ",Yes,yes,It was Correct,,Bryan,YES
3/6/2024 15:37:25,552063,yes ,110WPFJPR2 29/16,TW/CP,WH 4,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 15:38:32,552064,yes ,"11200WP 12/8
1400WP 12/12",MJ,AP,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 15:42:05,00552060 4xs ,yes ,"14WPFJPR2 1X4 WHITE PINE 196/16 ×2 , 4/16 12WPFJPR2 1X2 WHITE PINE  200/16 , 16FPR2 1X6 FASCIA DURAPRIME 50 /16",DH JA ,WH 4,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 15:45:26,00552101,yes ,"2236APTSB 2X2 36"" KDAT SQ BALUSTER  420/36",Boo,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 15:53:05,00552091,yes ,1600VC premium knotty rev V- JET ,Boo,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 15:55:02,552101,yes ,641212A APTBNS 6/4×12 12' CSYP KDAT BULL NOSE ,Boo,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 16:10:38,552058,yes ,5416AKON 26/16 24/16,CH/TW,AZEK,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 16:12:14,552048,not multiple tags,54416APSG,CH/TW,AZEK,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 16:14:35,552071,not multiple tags,54612ACS 3/12,TW/CH,AZEK,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 16:17:16,552088,not multiple tags,54612ACS 1/12,TW/CH,AZEK,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 16:18:11,552050,yes ,16VJ#2SYPAUB 56/10,OG ,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 16:18:40,551952,not multiple tags,54612SAG 1/12,CH/TW,AZEK,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 16:18:52,00552081 5xs ,yes ,112#3PINE 1X12 #3 PONDAROSA PINE 128/16 5×s,Shaun,"Shaun (Longs, Ponderosa Pine, V cut spruce ",Yes,yes,It was Correct,,Aundra,YES
3/6/2024 16:19:48,552117,yes ,1416#2SYP 384/16,TK,AP,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 16:20:49,552026,not multiple tags,54620ADH,CH,AZEK,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 16:21:21,552089,yes ,1416#2SYP 384/16,TK,AP,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 16:21:54,00552049,yes ,12DPR 1X2 FJ DURAPRIME 418/16,PETE ,WH 1,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 16:22:43,551888,not multiple tags,11216APP 1/16,CH/TW,AZEK,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 16:22:46,552089,yes ,1416#2SYP 384/16,TK,AP,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 16:28:21,551998,yes ,54412APSG 48/12 28/12,CH/TW,AZEK,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 16:31:25,00552084 2xs ,yes ,546DPR 5/4×6 FJ DURAPRIME 18/16 2xs 26/16,Sam,WH 1,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 16:31:30,551997,yes ,1400ABC/122 128/16,LE,AP,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 16:32:16,552005,yes ,"1416SPF 30/16
1612SPF 30/12",RD,MDF,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 16:32:24,00552079,yes ,546DPR 5/4×6 FJ DURAPRIME  15/16 ,Sam,WH 1,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 16:32:34,551972,not multiple tags,54616ASG 64/16,Doolie,AZEK,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 16:32:49,551779,yes ,1816ASL 144/16,MJ,AP,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 16:33:36,551673,yes ,1816ASL 60/16,TK,AP,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 16:33:49,551972,not multiple tags,54616ASG 64/16,Doolie,AZEK,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 16:33:59,00552060,yes ,546DPR 5/4×6 FJ DURAPRIME 20/16,Sam,WH 1,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 16:34:48,551972,not multiple tags,54616ASG,Doolie,AZEK,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 16:35:47,551972,,54616ASG 64/16,Doolie,AZEK,Yes,,It was Correct,,Calvin,YES
3/6/2024 16:36:09,552002,yes ,"112#2PINE8 30/8
112#2PINE10 10/10
112#2PINE10 20/10
112#2PINE 13/16
112#2PINE 17/16",YJ/SN,"Shaun (Longs, Ponderosa Pine, V cut spruce ",Yes,yes,It was Correct,,Bryan,YES
3/6/2024 16:36:43,552002,yes ,1600#2122 50/14,MJ,AP,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 16:37:18,551972,not multiple tags,54616ASG 64/16,Doolie,AZEK,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 16:38:42,551972,not multiple tags,54616ASG 64/16,Doolie,AZEK,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 16:40:02,551972,not multiple tags,54616ASG 64/16,Doolie,AZEK,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 16:41:35,551972,not multiple tags,54616ASG 42/16,CH/TW,AZEK,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 16:42:15,552097,yes ,1400AP 25/8 75/10 50/12,LE,AP,Yes,yes,Major Count,"They were supposed to have 75 count on the 10-footers, they actually had 70 count. ",Bryan,No this is an error and I put a note explaining the error and a yellow sticker if possible and signed it.
3/6/2024 16:43:58,552054,not multiple tags,101010TC 2/10 ,SAM,WH 1,,yes,It was Correct,,Calvin,YES
3/6/2024 16:44:58,552103,yes ,18VCSPFP 10/16,YJ/SN,"Shaun (Longs, Ponderosa Pine, V cut spruce ",Yes,yes,It was Correct,,Bryan,YES
3/6/2024 16:45:39,552054,yes ,101012TC 1/12 1/12 1/12,SAM,WH 1,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 16:46:41,552128,yes ,314CPRB317 25/17,NR/CL,WH 4,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 16:47:43,550639,yes ,1816ASL 4/16,MJ,AP,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 16:47:50,552060,not multiple tags,161616MDF 30/16,SAM,WH 1,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 16:49:48,552131,yes ,WOSN6* 10/16,OG ,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 16:50:19,552012,not multiple tags,544DPR 24/16,SAM,WH 1,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 16:51:13,552115,yes ,112WPFJPR2 164/16,JP,WH 4,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 16:53:42,552052,yes ,"1810WRC 64/10
1810WRC 12/10",SJ/G,Returns,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 16:55:49,552119,not multiple tags,1616A122 128/16,TK,AP,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 17:08:54,552097,yes ,"1600AP 25/8 25/10 25/16
1800AP 25/8 25/10",LE,AP,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 17:10:19,552083,yes ,"16WPFJPR2 50/16
14WPFJPR2 50/16",DH/JA,WH 4,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 17:11:29,552060,yes ,"1416AP 30/16
1616AP 20/16",MJ,AP,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 17:12:43,552119,yes ,1612A122 128/12,TK,AP,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 17:13:31,1416SPF 73/16 127/16 ,yes ,1416SPF 73/16 127/16 ,RD/JF,MDF,Yes,,It was Correct,,Calvin,YES
3/6/2024 17:14:06,552133,yes ,1417WPFJPR2 16/17,NR/CL,WH 4,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 17:16:45,552093,yes ,"614WSPR 8/16
314C39984PR 44/17
514B618PR 8/16",DH/JA,WH 4,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 17:18:37,552121,yes ,1600#2122 58/12,MJ,AP,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 17:19:22,550493,not multiple tags,8820WRC 1/20 ,S/G,Returns,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 17:21:05,550998,not multiple tags,FIRPC 2/1,S/G,Returns,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 17:21:38,551851,yes ,546DPR 8/16,JS,WH 1,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 17:22:44,552123,yes ,38ANB 108/8,PETE,WH 1,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 17:23:44,551977,yes ,"12ABM 10/8
12ABM 10/8",SAM,WH 1,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 17:24:28,552092,yes ,34A 54/8,PD,WH 1,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 17:25:24,551978,yes ,"34ABM 32/8
34ABM 8/8",SAM,WH 1,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 17:26:34,551962,yes ,34B2RO 1/8,SAM,WH 1,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 17:27:30,552043,yes ,14GG 180/8,PD,WH 1,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 17:28:18,552139,yes ,34C2CHB 50/8,PD,WH 1,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 17:28:55,552139,yes ,34C2CHB 50/8,PD,WH 1,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 17:29:42,552043,yes ,38GG 124/8,PD,WH 1,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 17:30:31,552005,yes ,34C2CHB 50/8,PD,WH 1,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 17:31:05,551840,yes ,34C2CHB 50/8,PD,WH 1,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 17:33:30,552093,yes ,"16DPR 7/16
18DPR 3/16
12DPR 45/16",SAM,WH 1,Yes,yes,It was Correct,,Bryan,YES
3/6/2024 17:45:15,552072,yes ,"54616AMH 2/16 2/16
54616AGMH 2/16 ",CH/TW,AZEK,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 17:48:12,552072,yes ,"11212RJMH 3/12 2/12
54612AMH 25/12 19/12",CH/TW,AZEK,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 17:49:54,551188,not multiple tags,54616APCS 64/16 ,Doolie,AZEK,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 17:50:28,00550741A,yes ,1618AF 3/4 18' AZEK FRONTIER  7/18,BB,Azek Frontier,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 17:50:49,54616APCS,not multiple tags,54616APCS,Doolie,AZEK,Yes,yes,It was Correct,,Calvin,YES
3/6/2024 17:51:46,0055446A,yes ,"1618AF 34"" AZEK FRONTIER 8/18",BB ,Azek Frontier,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 17:53:12,00550777A ,yes ,1618AF 3/4 AZEK FRONTIER 10/18 ,B B ,Azek Frontier,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 17:55:40,00550716A,yes ,"1618AF 3/4"" 18' AZEK FRONTIER  30/18 ",B B ,Azek Frontier,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 17:56:43,00552111,yes ,"11218AF 3/4"" 18' AZEK FRONTIER  12/18",B B,Azek Frontier,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 18:00:28,00551315,yes ,712ACR  AZM 1X7 1/2 CROWN 8/16,B B ,Azek Frontier,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 18:01:55,00549413A,yes ,"712ACR AZM 1X7 1/2"" 6/16",B B,Azek Frontier,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 18:03:12,00550473 2xs tags ,yes ,"712ACR AZM1X7 1/2"" 43 CROWN 1/16 , 2/16",B B,Azek Frontier,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 18:07:33,00552139,yes ,16WPFJPR2 1X6 WHITE PINE 287/16,JP,WH 4,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 18:10:00,00552139 2xs tags ,yes ,16MT 1X6 160/16 2xs  MIRATEC TRIM ,JP ,WH 1,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 18:11:30,00552139,yes ,16WPFJPR2 1X6 WHITE PINE 287/16,J P ,WH 4,Yes,yes,Minor Count,,Aundra,YES
3/6/2024 18:12:58,552116,yes ,DSPR81 387/6.75 13/6.75,BB,Azek Frontier,Yes,no this is an error,Minor Count,10 too many and no spacers under tops which causes the 20 not in a pack to be loose,Calvin,YES
3/6/2024 18:14:12,00552077 2xs tags ,yes ,"714 COLOR 7- 1/4 FANCY COVE 15/16  514SBS 5- 1/4 ×16"" 100/16 SPEED BASE ",RD JF ,MDF,Yes,yes,It was Correct,,Aundra,YES
3/6/2024 19:28:43,552093,yes ,"714SB 75/16
412CE 75/16",JF/RD,MDF,Yes,yes,Major Count,"They're supposed to have 75 count, they have 84 count. NOTE: this was found by the truck at the end of day and corrected on site. ",Bryan,No this is an error and I put a note explaining the error and a yellow sticker if possible and signed it.
3/7/2024 10:43:15,1,,Qq,H,Windsor ,,,U,,H,
3/7/2024 11:02:20,123456,no this is a error ,BSHPR 20/16. 314C444PR 69/16. QRPR 60/16,CC and CC,WH 4,Yes,no this is an error,Major Count,Wrong address wrong count shits fucked,Charley,YES
3/7/2024 11:24:52,552164,not multiple tags,112#3PINE8,YJ/SN,"Shaun (Longs, Ponderosa Pine, V cut spruce ",Yes,yes,It was Correct,,Charley,YES
3/7/2024 11:27:02,552126,yes ,8810CBR,Boo,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,Charley,YES
3/7/2024 11:28:54,552129,yes ,SQ888FGC,Not Signed,WH 5 (Scott Knight) ,Yes,yes,It was Correct,,Charley,YES
3/7/2024 11:34:19,552001,yes ,1612#2SYP,TK/MJ,AP,Yes,yes,It was Correct,,Charley,YES
3/7/2024 11:41:06,552166,yes ,714BPR,TW/CP,WH 4,Yes,yes,It was Correct,,Charley,YES
3/7/2024 12:11:33,552154,not multiple tags,16VCSPFP 280/16,YJ/SN,"Shaun (Longs, Ponderosa Pine, V cut spruce ",Yes,yes,It was Correct,,Charley,YES
